size,time,flops,add,mul
1,0.000025,1,0,1
2,0.000000,12,4,8
3,0.000001,45,18,27
4,0.000001,112,48,64
5,0.000001,225,100,125
6,0.000035,477,288,189
7,0.000055,718,402,316
8,0.000014,1072,624,448
9,0.000025,1489,824,665
10,0.000011,2025,1150,875
11,0.000016,2666,1460,1206
12,0.000032,3987,2664,1323
13,0.000106,4900,3108,1792
14,0.000028,5908,3696,2212
15,0.000086,7141,4298,2843
16,0.000043,8656,5520,3136
17,0.000052,10257,6304,3953
18,0.000055,11881,7226,4655
19,0.000070,13898,8216,5682
20,0.000074,15975,9850,6125
21,0.000065,18456,11070,7386
22,0.000058,20840,12398,8442
23,0.000083,23833,13872,9961
24,0.000120,30501,21240,9261
25,0.000128,34054,22992,11062
26,0.000116,37342,24798,12544
27,0.000236,41503,26852,14651
28,0.000126,44884,29400,15484
29,0.000161,49701,31780,17921
30,0.000161,54037,34136,19901
31,0.000312,59558,36866,22692
32,0.000180,65200,43248,21952
33,0.000171,71473,46352,25121
34,0.000189,77001,49330,27671
35,0.000232,84074,52832,31242
36,0.000263,88999,56414,32585
37,0.000229,96920,60338,36582
38,0.000238,103784,64010,39774
39,0.000342,112601,68380,44221
40,0.000259,119025,76150,42875
41,0.000252,128786,80990,47796
42,0.000279,137130,85428,51702
43,0.000375,147883,90762,57121
44,0.000338,154592,95498,59094
45,0.000349,166385,101350,65035
46,0.000342,176353,106626,69727
47,0.000526,189234,113020,76214
48,0.000562,223875,159048,64827
49,0.000521,237892,166008,71884
50,0.000511,249628,172194,77434
51,0.000608,264829,179744,85085
52,0.000560,273562,185754,87808
53,0.000554,289995,193918,96077
54,0.000619,303643,201086,102557
55,0.000953,321356,209888,111468
56,0.000865,328300,219912,108388
57,0.000789,347341,229376,117965
58,0.000906,363045,237598,125447
59,0.000863,383462,247748,135714
60,0.000801,394459,255152,139307
61,0.000764,416300,266012,150288
62,0.000794,434204,275360,158844
63,0.001032,457517,286954,170563
64,0.000874,474832,321168,153664
65,0.000891,499665,333520,166145
66,0.000915,519913,344066,175847
67,0.001239,546314,357200,189114
68,0.001199,559815,366118,193697
69,0.001205,587832,380058,207774
70,0.001139,610568,391874,218694
71,0.001258,640249,406644,233605
72,0.001197,646321,418226,228095
73,0.001196,677714,433850,243864
74,0.001230,703082,447008,256074
75,0.001388,736235,463510,272725
76,0.001657,752480,474062,278418
77,0.001489,787441,491466,295975
78,0.001689,815585,506038,309547
79,0.002101,852402,524368,328034
80,0.001925,861975,561850,300125
81,0.001874,900696,581130,319566
82,0.001790,931760,597188,334572
83,0.001757,972433,617442,354991
84,0.001783,991662,629748,361914
85,0.001806,1034335,651000,383335
86,0.001918,1068463,668616,399847
87,0.002045,1113184,690890,422294
88,0.002153,1116992,703334,413658
89,0.002101,1163809,726654,437155
90,0.002392,1201145,745900,455245
91,0.002783,1250106,770290,479816
92,0.002591,1272559,784470,488089
93,0.002390,1323712,809954,513758
94,0.002494,1364400,830902,533498
95,0.002870,1417793,857504,560289
96,0.002867,1608597,1154808,453789
97,0.002880,1664278,1182552,481726
98,0.003424,1708462,1205274,503188
99,0.003705,1766479,1234184,532295
100,0.003604,1792396,1250358,542038
101,0.003662,1852797,1280458,572339
102,0.003719,1900621,1305026,595595
103,0.003622,1963454,1336340,627114
104,0.003516,1963606,1348950,614656
105,0.004179,2028919,1381502,647417
106,0.004190,2080527,1407988,672539
107,0.004319,2148368,1441802,706566
108,0.003867,2177989,1460090,717899
109,0.004128,2248406,1495190,753216
110,0.004863,2303942,1523666,780276
111,0.005379,2376983,1560076,816907
112,0.004923,2354548,1595832,758716
113,0.004809,2430261,1633576,796685
114,0.004940,2489869,1664114,825755
115,0.005211,2568302,1703216,865086
116,0.004639,2601867,1723738,878129
117,0.005170,2683068,1764222,918846
118,0.005208,2746892,1796894,949998
119,0.006188,2830909,1838784,992125
120,0.005184,2826013,1850864,975149
121,0.006087,2912894,1894184,1018710
122,0.006111,2981078,1929062,1052016
123,0.005665,3070871,1973836,1097035
124,0.005976,3108620,1996712,1111908
125,0.006622,3201373,2042964,1158409
126,0.006408,3274061,2080120,1193941
127,0.007499,3369822,2127874,1241948
128,0.006870,3397552,2321904,1075648
129,0.006751,3496369,2371184,1125185
130,0.006636,3573705,2410690,1163015
131,0.007032,3675626,2461520,1214106
132,0.006586,3717799,2486870,1230929
133,0.007449,3822872,2539274,1283598
134,0.006962,3905000,2581202,1323798
135,0.008201,4013273,2635204,1378069
136,0.008101,4001937,2646058,1355879
137,0.007861,4113458,2701682,1411776
