size,time,flops,add,mul
1,0.000020,1,0,1
2,0.000015,12,4,8
3,0.000016,45,18,27
4,0.000023,112,48,64
5,0.000024,225,100,125
6,0.000033,477,288,189
7,0.000036,718,402,316
8,0.000039,1072,624,448
9,0.000044,1489,824,665
10,0.000045,2025,1150,875
11,0.000059,2666,1460,1206
12,0.000059,3987,2664,1323
13,0.000074,4900,3108,1792
14,0.000081,5908,3696,2212
15,0.000095,7141,4298,2843
16,0.000089,8656,5520,3136
17,0.000121,10257,6304,3953
18,0.000560,11881,7226,4655
19,0.000169,13898,8216,5682
20,0.000128,15975,9850,6125
21,0.000136,18456,11070,7386
22,0.000284,20840,12398,8442
23,0.000661,23833,13872,9961
24,0.000864,30501,21240,9261
25,0.000441,34054,22992,11062
26,0.000189,37342,24798,12544
27,0.000531,41503,26852,14651
28,0.000249,44884,29400,15484
29,0.000601,49701,31780,17921
30,0.000320,54037,34136,19901
31,0.000686,59558,36866,22692
32,0.000434,65200,43248,21952
33,0.000663,71473,46352,25121
34,0.000584,77001,49330,27671
35,0.000660,84074,52832,31242
36,0.000777,88999,56414,32585
37,0.001296,96920,60338,36582
38,0.001219,103784,64010,39774
39,0.001038,112601,68380,44221
40,0.001042,119025,76150,42875
41,0.000795,128786,80990,47796
42,0.000870,137130,85428,51702
43,0.000912,147883,90762,57121
44,0.001047,154592,95498,59094
45,0.001593,166385,101350,65035
46,0.001381,176353,106626,69727
47,0.001933,189234,113020,76214
48,0.001613,223875,159048,64827
49,0.001424,237892,166008,71884
50,0.001424,249628,172194,77434
51,0.001634,264829,179744,85085
52,0.001752,273562,185754,87808
53,0.002060,289995,193918,96077
54,0.002169,303643,201086,102557
55,0.002141,321356,209888,111468
56,0.002220,328300,219912,108388
57,0.002164,347341,229376,117965
58,0.002206,363045,237598,125447
59,0.002186,383462,247748,135714
60,0.002406,394459,255152,139307
61,0.002554,416300,266012,150288
62,0.002184,434204,275360,158844
63,0.002459,457517,286954,170563
64,0.002758,474832,321168,153664
65,0.002623,499665,333520,166145
66,0.002879,519913,344066,175847
67,0.002580,546314,357200,189114
68,0.003172,559815,366118,193697
69,0.003237,587832,380058,207774
70,0.002971,610568,391874,218694
71,0.002851,640249,406644,233605
72,0.002827,646321,418226,228095
73,0.003432,677714,433850,243864
74,0.003743,703082,447008,256074
75,0.003087,736235,463510,272725
76,0.003200,752480,474062,278418
77,0.003916,787441,491466,295975
78,0.003483,815585,506038,309547
79,0.004818,852402,524368,328034
80,0.004317,861975,561850,300125
81,0.004644,900696,581130,319566
82,0.004875,931760,597188,334572
83,0.004996,972433,617442,354991
84,0.004511,991662,629748,361914
85,0.004476,1034335,651000,383335
86,0.004159,1068463,668616,399847
87,0.004345,1113184,690890,422294
88,0.004133,1116992,703334,413658
89,0.006462,1163809,726654,437155
90,0.005335,1201145,745900,455245
91,0.004412,1250106,770290,479816
92,0.004948,1272559,784470,488089
93,0.005462,1323712,809954,513758
94,0.005203,1364400,830902,533498
95,0.005557,1417793,857504,560289
96,0.005707,1608597,1154808,453789
97,0.007145,1664278,1182552,481726
98,0.006279,1708462,1205274,503188
99,0.005833,1766479,1234184,532295
100,0.005847,1792396,1250358,542038
101,0.006066,1852797,1280458,572339
102,0.007719,1900621,1305026,595595
103,0.007622,1963454,1336340,627114
104,0.006272,1963606,1348950,614656
105,0.008939,2028919,1381502,647417
106,0.007400,2080527,1407988,672539
107,0.006866,2148368,1441802,706566
108,0.007794,2177989,1460090,717899
109,0.007805,2248406,1495190,753216
110,0.006876,2303942,1523666,780276
111,0.008365,2376983,1560076,816907
112,0.007645,2354548,1595832,758716
113,0.008751,2430261,1633576,796685
114,0.010830,2489869,1664114,825755
115,0.008680,2568302,1703216,865086
116,0.009012,2601867,1723738,878129
117,0.009844,2683068,1764222,918846
118,0.009054,2746892,1796894,949998
119,0.009502,2830909,1838784,992125
120,0.008829,2826013,1850864,975149
121,0.008604,2912894,1894184,1018710
122,0.009329,2981078,1929062,1052016
123,0.008611,3070871,1973836,1097035
124,0.008790,3108620,1996712,1111908
125,0.009834,3201373,2042964,1158409
126,0.010420,3274061,2080120,1193941
127,0.010657,3369822,2127874,1241948
128,0.009534,3397552,2321904,1075648
129,0.009970,3496369,2371184,1125185
130,0.009632,3573705,2410690,1163015
131,0.012874,3675626,2461520,1214106
132,0.012487,3717799,2486870,1230929
133,0.011523,3822872,2539274,1283598
134,0.012369,3905000,2581202,1323798
135,0.013625,4013273,2635204,1378069
136,0.013320,4001937,2646058,1355879
137,0.013773,4113458,2701682,1411776
138,0.012487,4200522,2746104,1454418
139,0.012468,4315339,2803374,1511965
140,0.012204,4362176,2831318,1530858
141,0.014327,4480337,2890258,1590079
142,0.013892,4572481,2937246,1635235
143,0.016041,4694034,2997880,1696154
144,0.014737,4617559,3020894,1596665
145,0.017925,4742552,3083246,1659306
146,0.016167,4839920,3132872,1707048
147,0.015925,4968401,3196966,1771435
148,0.017445,5020142,3227624,1792518
149,0.015602,5152159,3293484,1858675
150,0.015986,5254895,3345820,1909075
151,0.015926,5390496,3413470,1977026
152,0.018601,5371328,3422402,1948926
153,0.016170,5510561,3491866,2018695
154,0.016351,5618809,3546984,2071825
155,0.016937,5761722,3618286,2143436
156,0.019628,5818607,3651778,2166829
157,0.019144,5965248,3724942,2240306
158,0.016699,6079152,3782914,2296238
159,0.017175,6229569,3857964,2371605
160,0.018749,6149025,4048150,2100875
161,0.019986,6303266,4125110,2178156
162,0.018776,6422970,4186008,2236962
163,0.019004,6581083,4264902,2316181
164,0.017744,6643352,4301348,2342004
165,0.019756,6805385,4382200,2423185
166,0.018024,6931033,4446096,2484937
167,0.018645,7097034,4528930,2568104
168,0.018201,7068642,4535244,2533398
169,0.021319,7238659,4620084,2618575
170,0.022185,7370395,4687050,2683345
171,0.021170,7544476,4773920,2770556
172,0.022204,7612369,4813440,2798929
173,0.020044,7790562,4902364,2888198
174,0.022787,7928530,4972472,2956058
175,0.023060,8110883,5063474,3047409
176,0.021548,7958336,5062730,2895606
177,0.023769,8144897,5155834,2989063
178,0.023554,8289241,5229156,3060085
179,0.025787,8480058,5324386,3155672
180,0.025834,8553815,5367100,3186715
181,0.023310,8748936,5464480,3284456
182,0.025425,8899800,5541088,3358712
183,0.025251,9099273,5640642,3458631
184,0.029705,9060265,5643642,3416623
185,0.026914,9264138,5745394,3518744
186,0.025706,9421666,5825360,3596306
187,0.025265,9629987,5929334,3700653
188,0.026108,9709848,5975362,3734486
189,0.027274,9922665,6081582,3841083
190,0.026243,10087001,6164978,3922023
191,0.032411,10304362,6273468,4030894
192,0.031611,11426067,8249544,3176523
193,0.030322,11648020,8360328,3287692
194,0.031057,11819308,8447226,3372082
195,0.031854,12045901,8560328,3485573
196,0.032863,12132106,8609790,3522316
