size,time,flops,add,mul
1,0.000015,0,0,0
2,0.000014,18,18,0
3,0.000019,51,32,19
4,0.000009,198,198,0
5,0.000022,311,250,61
6,0.000016,519,386,133
7,0.000027,760,500,260
8,0.000028,1674,1674,0
9,0.000020,2091,1874,217
10,0.000049,2627,2200,427
11,0.000044,3268,2510,758
12,0.000031,4281,3350,931
13,0.000035,5194,3794,1400
14,0.000027,6202,4382,1820
15,0.000065,7435,4984,2451
16,0.000075,12870,12870,0
17,0.000060,14471,13654,817
18,0.000061,16095,14576,1519
19,0.000073,18112,15566,2546
20,0.000090,20189,17200,2989
21,0.000077,22670,18420,4250
22,0.000076,25054,19748,5306
23,0.000128,28047,21222,6825
24,0.000125,32559,26042,6517
25,0.000115,36112,27794,8318
26,0.000111,39400,29600,9800
27,0.000140,43561,31654,11907
28,0.000154,46942,34202,12740
29,0.000146,51759,36582,15177
30,0.000141,56095,38938,17157
31,0.000227,61616,41668,19948
32,0.000352,94698,94698,0
33,0.000326,100971,97802,3169
34,0.000356,106499,100780,5719
35,0.000368,113572,104282,9290
36,0.000366,118497,107864,10633
37,0.000384,126418,111788,14630
38,0.000447,133282,115460,17822
39,0.000673,142099,119830,22269
40,0.000633,148523,127600,20923
41,0.000581,158284,132440,25844
42,0.000473,166628,136878,29750
43,0.000565,177381,142212,35169
44,0.000560,184090,146948,37142
45,0.000644,195883,152800,43083
46,0.000661,205851,158076,47775
47,0.000842,218732,164470,54262
48,0.000923,238281,192662,45619
49,0.000886,252298,199622,52676
50,0.000890,264034,205808,58226
51,0.000923,279235,213358,65877
52,0.000927,287968,219368,68600
53,0.000931,304401,227532,76869
54,0.000934,318049,234700,83349
55,0.001043,335762,243502,92260
56,0.001029,342706,253526,89180
57,0.001024,361747,262990,98757
58,0.001032,377451,271212,106239
59,0.001134,397868,281362,116506
60,0.001108,408865,288766,120099
61,0.001331,430706,299626,131080
62,0.001162,448610,308974,139636
63,0.001350,471923,320568,151355
64,0.002833,681318,681318,0
65,0.002480,706151,693670,12481
66,0.002570,726399,704216,22183
67,0.002445,752800,717350,35450
68,0.002578,766301,726268,40033
69,0.002645,794318,740208,54110
70,0.002875,817054,752024,65030
71,0.003394,846735,766794,79941
72,0.002845,852807,778376,74431
73,0.003088,884200,794000,90200
74,0.002644,909568,807158,102410
75,0.003371,942721,823660,119061
76,0.002753,958966,834212,124754
77,0.002853,993927,851616,142311
78,0.003452,1022071,866188,155883
79,0.020854,1058888,884518,174370
80,0.028013,1068461,922000,146461
81,0.035300,1107182,941280,165902
82,0.030003,1138246,957338,180908
83,0.003536,1178919,977592,201327
84,0.003799,1198148,989898,208250
85,0.005791,1240821,1011150,229671
86,0.006162,1274949,1028766,246183
87,0.005291,1319670,1051040,268630
88,0.003802,1323478,1063484,259994
89,0.003446,1370295,1086804,283491
90,0.003394,1407631,1106050,301581
91,0.004197,1456592,1130440,326152
92,0.003644,1479045,1144620,334425
93,0.004038,1530198,1170104,360094
94,0.004270,1570886,1191052,379834
95,0.004442,1624279,1217654,406625
96,0.005048,1709439,1390106,319333
97,0.004714,1765120,1417850,347270
98,0.004820,1809304,1440572,368732
99,0.004906,1867321,1469482,397839
100,0.004881,1893238,1485656,407582
101,0.005474,1953639,1515756,437883
102,0.005228,2001463,1540324,461139
103,0.005572,2064296,1571638,492658
104,0.005743,2064448,1584248,480200
105,0.005183,2129761,1616800,512961
106,0.005575,2181369,1643286,538083
107,0.006456,2249210,1677100,572110
108,0.005666,2278831,1695388,583443
109,0.005814,2349248,1730488,618760
110,0.005924,2404784,1758964,645820
111,0.006708,2477825,1795374,682451
112,0.006365,2455390,1831130,624260
113,0.006199,2531103,1868874,662229
114,0.006377,2590711,1899412,691299
115,0.006702,2669144,1938514,730630
116,0.006700,2702709,1959036,743673
117,0.006949,2783910,1999520,784390
118,0.006753,2847734,2032192,815542
119,0.007038,2931751,2074082,857669
120,0.007791,2926855,2086162,840693
121,0.007217,3013736,2129482,884254
122,0.007138,3081920,2164360,917560
123,0.007558,3171713,2209134,962579
124,0.007268,3209462,2232010,977452
125,0.008173,3302215,2278262,1023953
126,0.008036,3374903,2315418,1059485
127,0.008673,3470664,2363172,1107492
128,0.015767,4842954,4842954,0
129,0.016492,4941771,4892234,49537
130,0.016819,5019107,4931740,87367
131,0.016445,5121028,4982570,138458
132,0.017019,5163201,5007920,155281
133,0.016242,5268274,5060324,207950
134,0.017523,5350402,5102252,248150
135,0.017397,5458675,5156254,302421
136,0.018347,5447339,5167108,280231
137,0.017223,5558860,5222732,336128
138,0.017244,5645924,5267154,378770
139,0.017838,5760741,5324424,436317
140,0.017476,5807578,5352368,455210
141,0.018472,5925739,5411308,514431
142,0.018366,6017883,5458296,559587
143,0.018879,6139436,5518930,620506
144,0.018458,6062961,5541944,521017
145,0.018458,6187954,5604296,583658
146,0.018300,6285322,5653922,631400
147,0.020610,6413803,5718016,695787
148,0.019669,6465544,5748674,716870
149,0.019260,6597561,5814534,783027
150,0.019821,6700297,5866870,833427
151,0.019930,6835898,5934520,901378
152,0.019169,6816730,5943452,873278
153,0.020204,6955963,6012916,943047
154,0.020445,7064211,6068034,996177
155,0.019948,7207124,6139336,1067788
156,0.020954,7264009,6172828,1091181
157,0.020692,7410650,6245992,1164658
158,0.020846,7524554,6303964,1220590
159,0.022299,7674971,6379014,1295957
160,0.023392,7594427,6569200,1025227
