size,time,flops,add,mul
1,0.000025,1,0,1
2,0.000003,12,4,8
3,0.000001,45,18,27
4,0.000000,112,48,64
5,0.000001,225,100,125
6,0.000066,477,288,189
7,0.000039,718,402,316
8,0.000010,1072,624,448
9,0.000018,1489,824,665
10,0.000010,2025,1150,875
11,0.000018,2666,1460,1206
12,0.000045,3987,2664,1323
13,0.000114,4900,3108,1792
14,0.000032,5908,3696,2212
15,0.000089,7141,4298,2843
16,0.000043,8656,5520,3136
17,0.000043,10257,6304,3953
18,0.000037,11881,7226,4655
19,0.000062,13898,8216,5682
20,0.000067,15975,9850,6125
21,0.000089,18456,11070,7386
22,0.000067,20840,12398,8442
23,0.000085,23833,13872,9961
24,0.000146,30501,21240,9261
25,0.000097,34054,22992,11062
26,0.000092,37342,24798,12544
27,0.000220,41503,26852,14651
28,0.000148,44884,29400,15484
29,0.000132,49701,31780,17921
30,0.000147,54037,34136,19901
31,0.000245,59558,36866,22692
32,0.000163,65200,43248,21952
33,0.000175,71473,46352,25121
34,0.000226,77001,49330,27671
35,0.000232,84074,52832,31242
36,0.000239,88999,56414,32585
37,0.000195,96920,60338,36582
38,0.000206,103784,64010,39774
39,0.000317,112601,68380,44221
40,0.000266,119025,76150,42875
41,0.000259,128786,80990,47796
42,0.000270,137130,85428,51702
43,0.000322,147883,90762,57121
44,0.000306,154592,95498,59094
45,0.000325,166385,101350,65035
46,0.000335,176353,106626,69727
47,0.000425,189234,113020,76214
48,0.000494,223875,159048,64827
49,0.000508,237892,166008,71884
50,0.000642,249628,172194,77434
51,0.000605,264829,179744,85085
52,0.000593,273562,185754,87808
53,0.000588,289995,193918,96077
54,0.000656,303643,201086,102557
55,0.000888,321356,209888,111468
56,0.000672,328300,219912,108388
57,0.000667,347341,229376,117965
58,0.000651,363045,237598,125447
59,0.000784,383462,247748,135714
60,0.000742,394459,255152,139307
61,0.000807,416300,266012,150288
62,0.000810,434204,275360,158844
63,0.001161,457517,286954,170563
64,0.001189,474832,321168,153664
65,0.001392,499665,333520,166145
66,0.001049,519913,344066,175847
67,0.001387,546314,357200,189114
68,0.001137,559815,366118,193697
69,0.001241,587832,380058,207774
70,0.001189,610568,391874,218694
71,0.001464,640249,406644,233605
72,0.001311,646321,418226,228095
73,0.001385,677714,433850,243864
74,0.001437,703082,447008,256074
75,0.001502,736235,463510,272725
76,0.001394,752480,474062,278418
77,0.001434,787441,491466,295975
78,0.001466,815585,506038,309547
79,0.002013,852402,524368,328034
80,0.001713,861975,561850,300125
81,0.001617,900696,581130,319566
82,0.001624,931760,597188,334572
83,0.001734,972433,617442,354991
84,0.001871,991662,629748,361914
85,0.002085,1034335,651000,383335
86,0.002019,1068463,668616,399847
87,0.002239,1113184,690890,422294
88,0.002134,1116992,703334,413658
89,0.002080,1163809,726654,437155
90,0.002090,1201145,745900,455245
91,0.002214,1250106,770290,479816
92,0.002422,1272559,784470,488089
93,0.003362,1323712,809954,513758
94,0.002786,1364400,830902,533498
95,0.002918,1417793,857504,560289
96,0.003095,1608597,1154808,453789
97,0.003028,1664278,1182552,481726
98,0.002921,1708462,1205274,503188
99,0.003196,1766479,1234184,532295
100,0.003427,1792396,1250358,542038
101,0.003563,1852797,1280458,572339
102,0.003638,1900621,1305026,595595
103,0.003813,1963454,1336340,627114
104,0.003669,1963606,1348950,614656
105,0.003701,2028919,1381502,647417
106,0.003620,2080527,1407988,672539
107,0.004067,2148368,1441802,706566
108,0.004175,2177989,1460090,717899
109,0.004246,2248406,1495190,753216
110,0.004299,2303942,1523666,780276
111,0.005124,2376983,1560076,816907
112,0.004202,2354548,1595832,758716
113,0.004943,2430261,1633576,796685
114,0.005049,2489869,1664114,825755
115,0.005317,2568302,1703216,865086
116,0.005229,2601867,1723738,878129
117,0.005292,2683068,1764222,918846
118,0.005260,2746892,1796894,949998
119,0.005374,2830909,1838784,992125
120,0.005643,2826013,1850864,975149
121,0.005560,2912894,1894184,1018710
122,0.005564,2981078,1929062,1052016
123,0.006235,3070871,1973836,1097035
124,0.005913,3108620,1996712,1111908
125,0.006401,3201373,2042964,1158409
126,0.006121,3274061,2080120,1193941
127,0.007019,3369822,2127874,1241948
128,0.006085,3397552,2321904,1075648
129,0.006693,3496369,2371184,1125185
130,0.006592,3573705,2410690,1163015
131,0.006830,3675626,2461520,1214106
132,0.007025,3717799,2486870,1230929
133,0.007014,3822872,2539274,1283598
134,0.007332,3905000,2581202,1323798
135,0.007601,4013273,2635204,1378069
136,0.007547,4001937,2646058,1355879
137,0.007605,4113458,2701682,1411776
138,0.008109,4200522,2746104,1454418
139,0.008189,4315339,2803374,1511965
