size,time,flops,add,mul
1,0.000021,1,0,1
2,0.000002,12,4,8
3,0.000001,45,18,27
4,0.000000,112,48,64
5,0.000001,225,100,125
6,0.000034,477,288,189
7,0.000046,718,402,316
8,0.000023,1072,624,448
9,0.000019,1489,824,665
10,0.000013,2025,1150,875
11,0.000083,2666,1460,1206
12,0.000106,3987,2664,1323
13,0.000082,4900,3108,1792
14,0.000054,5908,3696,2212
15,0.000122,7141,4298,2843
16,0.000039,8656,5520,3136
17,0.000041,10257,6304,3953
18,0.000040,11881,7226,4655
19,0.000066,13898,8216,5682
20,0.000064,15975,9850,6125
21,0.000053,18456,11070,7386
22,0.000098,20840,12398,8442
23,0.000139,23833,13872,9961
24,0.000118,30501,21240,9261
25,0.000102,34054,22992,11062
26,0.000086,37342,24798,12544
27,0.000194,41503,26852,14651
28,0.000131,44884,29400,15484
29,0.000146,49701,31780,17921
30,0.000124,54037,34136,19901
31,0.000242,59558,36866,22692
32,0.000166,65200,43248,21952
33,0.000155,71473,46352,25121
34,0.000163,77001,49330,27671
35,0.000206,84074,52832,31242
36,0.000196,88999,56414,32585
37,0.000215,96920,60338,36582
38,0.000216,103784,64010,39774
39,0.000289,112601,68380,44221
40,0.000240,119025,76150,42875
41,0.000236,128786,80990,47796
42,0.000241,137130,85428,51702
43,0.000291,147883,90762,57121
44,0.000281,154592,95498,59094
45,0.000297,166385,101350,65035
46,0.000308,176353,106626,69727
47,0.000409,189234,113020,76214
48,0.000485,223875,159048,64827
49,0.000452,237892,166008,71884
50,0.000443,249628,172194,77434
51,0.000571,264829,179744,85085
52,0.000497,273562,185754,87808
53,0.000613,289995,193918,96077
54,0.000690,303643,201086,102557
55,0.000981,321356,209888,111468
56,0.000722,328300,219912,108388
57,0.000732,347341,229376,117965
58,0.000703,363045,237598,125447
59,0.001027,383462,247748,135714
60,0.000867,394459,255152,139307
61,0.000984,416300,266012,150288
62,0.000792,434204,275360,158844
63,0.001511,457517,286954,170563
64,0.001034,474832,321168,153664
65,0.001111,499665,333520,166145
66,0.001320,519913,344066,175847
67,0.001308,546314,357200,189114
68,0.001044,559815,366118,193697
69,0.001008,587832,380058,207774
70,0.001021,610568,391874,218694
71,0.001386,640249,406644,233605
72,0.001292,646321,418226,228095
73,0.001245,677714,433850,243864
74,0.001182,703082,447008,256074
75,0.001417,736235,463510,272725
76,0.001390,752480,474062,278418
77,0.001427,787441,491466,295975
78,0.001516,815585,506038,309547
79,0.001734,852402,524368,328034
80,0.001511,861975,561850,300125
81,0.001459,900696,581130,319566
82,0.001482,931760,597188,334572
83,0.001649,972433,617442,354991
84,0.001917,991662,629748,361914
85,0.002076,1034335,651000,383335
86,0.001979,1068463,668616,399847
87,0.001886,1113184,690890,422294
88,0.001991,1116992,703334,413658
89,0.001954,1163809,726654,437155
90,0.002015,1201145,745900,455245
91,0.002069,1250106,770290,479816
92,0.002196,1272559,784470,488089
93,0.002222,1323712,809954,513758
94,0.002272,1364400,830902,533498
95,0.002578,1417793,857504,560289
96,0.002831,1608597,1154808,453789
97,0.002829,1664278,1182552,481726
98,0.003408,1708462,1205274,503188
99,0.003153,1766479,1234184,532295
100,0.003156,1792396,1250358,542038
101,0.003570,1852797,1280458,572339
102,0.003661,1900621,1305026,595595
103,0.004176,1963454,1336340,627114
104,0.003494,1963606,1348950,614656
105,0.003725,2028919,1381502,647417
106,0.003567,2080527,1407988,672539
107,0.003773,2148368,1441802,706566
108,0.004370,2177989,1460090,717899
109,0.003890,2248406,1495190,753216
110,0.004643,2303942,1523666,780276
111,0.005144,2376983,1560076,816907
112,0.004398,2354548,1595832,758716
113,0.004432,2430261,1633576,796685
114,0.004921,2489869,1664114,825755
115,0.004658,2568302,1703216,865086
116,0.004861,2601867,1723738,878129
117,0.004571,2683068,1764222,918846
118,0.004991,2746892,1796894,949998
119,0.005380,2830909,1838784,992125
120,0.005365,2826013,1850864,975149
121,0.004964,2912894,1894184,1018710
122,0.005816,2981078,1929062,1052016
123,0.005589,3070871,1973836,1097035
124,0.005727,3108620,1996712,1111908
125,0.005601,3201373,2042964,1158409
126,0.005562,3274061,2080120,1193941
127,0.007016,3369822,2127874,1241948
128,0.005751,3397552,2321904,1075648
129,0.005962,3496369,2371184,1125185
130,0.006266,3573705,2410690,1163015
131,0.006119,3675626,2461520,1214106
132,0.006578,3717799,2486870,1230929
133,0.006952,3822872,2539274,1283598
134,0.006430,3905000,2581202,1323798
135,0.007541,4013273,2635204,1378069
136,0.007243,4001937,2646058,1355879
137,0.007092,4113458,2701682,1411776
138,0.006920,4200522,2746104,1454418
139,0.007542,4315339,2803374,1511965
140,0.008376,4362176,2831318,1530858
141,0.007911,4480337,2890258,1590079
142,0.007756,4572481,2937246,1635235
143,0.008240,4694034,2997880,1696154
144,0.008117,4617559,3020894,1596665
145,0.008288,4742552,3083246,1659306
146,0.009249,4839920,3132872,1707048
147,0.008372,4968401,3196966,1771435
148,0.008790,5020142,3227624,1792518
149,0.009661,5152159,3293484,1858675
150,0.009883,5254895,3345820,1909075
151,0.009927,5390496,3413470,1977026
152,0.009565,5371328,3422402,1948926
153,0.010361,5510561,3491866,2018695
154,0.009522,5618809,3546984,2071825
155,0.010685,5761722,3618286,2143436
156,0.010395,5818607,3651778,2166829
157,0.010273,5965248,3724942,2240306
158,0.010987,6079152,3782914,2296238
159,0.011265,6229569,3857964,2371605
160,0.011437,6149025,4048150,2100875
161,0.010501,6303266,4125110,2178156
162,0.011167,6422970,4186008,2236962
163,0.010967,6581083,4264902,2316181
164,0.010953,6643352,4301348,2342004
165,0.011660,6805385,4382200,2423185
166,0.012179,6931033,4446096,2484937
167,0.012266,7097034,4528930,2568104
168,0.012431,7068642,4535244,2533398
169,0.012000,7238659,4620084,2618575
170,0.012304,7370395,4687050,2683345
171,0.012734,7544476,4773920,2770556
172,0.013178,7612369,4813440,2798929
173,0.013119,7790562,4902364,2888198
174,0.013265,7928530,4972472,2956058
175,0.015047,8110883,5063474,3047409
176,0.014162,7958336,5062730,2895606
177,0.014198,8144897,5155834,2989063
178,0.014772,8289241,5229156,3060085
179,0.014547,8480058,5324386,3155672
180,0.014627,8553815,5367100,3186715
181,0.015266,8748936,5464480,3284456
182,0.014628,8899800,5541088,3358712
183,0.015476,9099273,5640642,3458631
184,0.015532,9060265,5643642,3416623
185,0.015752,9264138,5745394,3518744
186,0.016225,9421666,5825360,3596306
187,0.016187,9629987,5929334,3700653
188,0.016893,9709848,5975362,3734486
189,0.016896,9922665,6081582,3841083
190,0.017094,10087001,6164978,3922023
191,0.019013,10304362,6273468,4030894
192,0.022225,11426067,8249544,3176523
193,0.020767,11648020,8360328,3287692
194,0.022234,11819308,8447226,3372082
195,0.020920,12045901,8560328,3485573
196,0.023098,12132106,8609790,3522316
197,0.021783,12363387,8725234,3638153
198,0.023116,12541771,8815706,3726065
199,0.025211,12777788,8933516,3844272
200,0.024354,12726772,8932506,3794266
201,0.024709,12967573,9052706,3914867
202,0.024421,13153197,9146824,4006373
203,0.024242,13398830,9269438,4129392
204,0.024774,13491619,9322454,4169165
205,0.024282,13742132,9447506,4294626
206,0.024713,13935140,9545342,4389798
207,0.026655,14190581,9672856,4517725
208,0.025186,13939930,9637338,4302592
209,0.026481,14200347,9767338,4433009
210,0.026242,14400883,9868964,4531919
211,0.025785,14666324,10001474,4664850
212,0.026030,14765937,10058164,4707773
213,0.027460,15036450,10193208,4843242
214,0.027476,15244658,10298696,4945962
215,0.027753,15520291,10436298,5083993
216,0.027456,15455875,10430582,5025293
217,0.028633,15736676,10570766,5165910
218,0.032787,15952700,10680188,5272512
219,0.031631,16238717,10822978,5415739
220,0.029713,16345394,10883462,5461932
221,0.029619,16636675,11028882,5607793
222,0.029891,16860659,11142310,5718349
223,0.032659,17157252,11290384,5866868
224,0.029831,16707628,11396616,5311012
225,0.030830,17009581,11547368,5462213
226,0.031306,17241669,11664874,5576795
227,0.032798,17549030,11818328,5730702
228,0.033293,17663011,11882726,5780285
229,0.034546,17975828,12038906,5936922
230,0.033369,18216164,12160562,6055602
231,0.034372,18534485,12319492,6214993
232,0.033281,18455277,12308374,6146903
233,0.034817,18779150,12470078,6309072
234,0.034901,19027878,12595956,6431922
235,0.036055,19357351,12760458,6596893
236,0.036538,19478876,12828890,6649986
237,0.036758,19813997,12996214,6817783
238,0.037083,20071261,13126386,6944875
239,0.037415,20412078,13296556,7115522
240,0.036038,20041291,13215248,6826043
241,0.037800,20387852,13388288,6999564
242,0.037363,20653796,13522826,7130970
243,0.037938,21006149,13698760,7307389
244,0.039014,21135458,13771346,7364112
245,0.038627,21493651,13950198,7543453
246,0.040657,21768419,14089174,7679245
247,0.041146,22132500,14270968,7861532
248,0.040378,22037108,14253752,7783356
249,0.040227,22407125,14438512,7968613
250,0.041293,22690861,14581998,8108863
251,0.043159,23066862,14769748,8297114
252,0.043717,23204195,14846608,8357587
