size,time,flops,add,mul
1,0.000030,1,0,1
2,0.000000,12,4,8
3,0.000006,45,18,27
4,0.000000,112,48,64
5,0.000002,225,100,125
6,0.000047,477,288,189
7,0.000045,718,402,316
8,0.000009,1072,624,448
9,0.000018,1489,824,665
10,0.000010,2025,1150,875
11,0.000012,2666,1460,1206
12,0.000098,3987,2664,1323
13,0.000055,4900,3108,1792
14,0.000030,5908,3696,2212
15,0.000059,7141,4298,2843
16,0.000026,8656,5520,3136
17,0.000031,10257,6304,3953
18,0.000035,11881,7226,4655
19,0.000050,13898,8216,5682
20,0.000040,15975,9850,6125
21,0.000047,18456,11070,7386
22,0.000045,20840,12398,8442
23,0.000120,23833,13872,9961
24,0.000107,30501,21240,9261
25,0.000087,34054,22992,11062
26,0.000075,37342,24798,12544
27,0.000163,41503,26852,14651
28,0.000119,44884,29400,15484
29,0.000112,49701,31780,17921
30,0.000105,54037,34136,19901
31,0.000212,59558,36866,22692
32,0.000172,65200,43248,21952
33,0.000146,71473,46352,25121
34,0.000147,77001,49330,27671
35,0.000170,84074,52832,31242
36,0.000176,88999,56414,32585
37,0.000182,96920,60338,36582
38,0.000189,103784,64010,39774
39,0.000310,112601,68380,44221
40,0.000242,119025,76150,42875
41,0.000233,128786,80990,47796
42,0.000263,137130,85428,51702
43,0.000275,147883,90762,57121
44,0.000271,154592,95498,59094
45,0.000289,166385,101350,65035
46,0.000306,176353,106626,69727
47,0.000377,189234,113020,76214
48,0.000416,223875,159048,64827
49,0.000484,237892,166008,71884
50,0.000471,249628,172194,77434
51,0.000492,264829,179744,85085
52,0.000508,273562,185754,87808
53,0.000544,289995,193918,96077
54,0.000553,303643,201086,102557
55,0.000743,321356,209888,111468
56,0.000664,328300,219912,108388
57,0.000631,347341,229376,117965
58,0.000659,363045,237598,125447
59,0.000764,383462,247748,135714
60,0.000772,394459,255152,139307
61,0.000766,416300,266012,150288
62,0.000775,434204,275360,158844
63,0.001385,457517,286954,170563
64,0.001118,474832,321168,153664
65,0.001043,499665,333520,166145
66,0.000921,519913,344066,175847
67,0.001077,546314,357200,189114
68,0.000975,559815,366118,193697
69,0.001050,587832,380058,207774
70,0.001058,610568,391874,218694
71,0.001252,640249,406644,233605
72,0.001194,646321,418226,228095
73,0.001202,677714,433850,243864
74,0.001217,703082,447008,256074
75,0.001326,736235,463510,272725
76,0.001328,752480,474062,278418
77,0.001425,787441,491466,295975
78,0.001380,815585,506038,309547
79,0.001998,852402,524368,328034
80,0.001451,861975,561850,300125
81,0.001465,900696,581130,319566
82,0.001493,931760,597188,334572
83,0.001566,972433,617442,354991
84,0.001567,991662,629748,361914
85,0.001785,1034335,651000,383335
86,0.001822,1068463,668616,399847
87,0.002058,1113184,690890,422294
88,0.001932,1116992,703334,413658
89,0.002098,1163809,726654,437155
90,0.001970,1201145,745900,455245
91,0.002188,1250106,770290,479816
92,0.002145,1272559,784470,488089
93,0.002212,1323712,809954,513758
94,0.002297,1364400,830902,533498
95,0.002690,1417793,857504,560289
96,0.002884,1608597,1154808,453789
97,0.002972,1664278,1182552,481726
98,0.003017,1708462,1205274,503188
99,0.003165,1766479,1234184,532295
100,0.003158,1792396,1250358,542038
101,0.003214,1852797,1280458,572339
102,0.003363,1900621,1305026,595595
103,0.003517,1963454,1336340,627114
104,0.003495,1963606,1348950,614656
105,0.003707,2028919,1381502,647417
106,0.003723,2080527,1407988,672539
107,0.003966,2148368,1441802,706566
108,0.003815,2177989,1460090,717899
109,0.003849,2248406,1495190,753216
110,0.004331,2303942,1523666,780276
